#       omega                  E                         P                            alpha             
    -1.59960e+02     2.027096e+00-4.589454e-05j   8.575042e+02+1.707347e+03j            8.422720e+02          
    -1.59560e+02     2.042102e+00-4.596252e-05j   8.670103e+02+1.718073e+03j            8.413356e+02          
    -1.59159e+02     2.057181e+00-4.601252e-05j   8.765921e+02+1.728848e+03j            8.404063e+02          
    -1.58759e+02     2.072333e+00-4.604450e-05j   8.862499e+02+1.739671e+03j            8.394842e+02          
    -1.58358e+02     2.087559e+00-4.605844e-05j   8.959839e+02+1.750543e+03j            8.385692e+02          
    -1.57958e+02     2.102857e+00-4.605431e-05j   9.057946e+02+1.761462e+03j            8.376613e+02          
    -1.57558e+02     2.118228e+00-4.603213e-05j   9.156824e+02+1.772430e+03j            8.367604e+02          
    -1.57157e+02     2.133673e+00-4.599188e-05j   9.256474e+02+1.783446e+03j            8.358666e+02          
    -1.56757e+02     2.149190e+00-4.593357e-05j   9.356901e+02+1.794510e+03j            8.349797e+02          
    -1.56356e+02     2.164780e+00-4.585722e-05j   9.458108e+02+1.805622e+03j            8.340998e+02          
    -1.55956e+02     2.180443e+00-4.576285e-05j   9.560098e+02+1.816783e+03j            8.332268e+02          
    -1.55556e+02     2.196178e+00-4.565048e-05j   9.662874e+02+1.827992e+03j            8.323608e+02          
    -1.55155e+02     2.211986e+00-4.552014e-05j   9.766440e+02+1.839250e+03j            8.315015e+02          
    -1.54755e+02     2.227867e+00-4.537190e-05j   9.870799e+02+1.850556e+03j            8.306492e+02          
    -1.54354e+02     2.243820e+00-4.520578e-05j   9.975954e+02+1.861910e+03j            8.298036e+02          
    -1.53954e+02     2.259846e+00-4.502185e-05j   1.008191e+03+1.873313e+03j            8.289648e+02          
    -1.53554e+02     2.275944e+00-4.482017e-05j   1.018867e+03+1.884764e+03j            8.281327e+02          
    -1.53153e+02     2.292115e+00-4.460081e-05j   1.029623e+03+1.896264e+03j            8.273074e+02          
    -1.52753e+02     2.308358e+00-4.436385e-05j   1.040460e+03+1.907812e+03j            8.264887e+02          
    -1.52352e+02     2.324673e+00-4.410937e-05j   1.051379e+03+1.919408e+03j            8.256767e+02          
    -1.51952e+02     2.341060e+00-4.383747e-05j   1.062378e+03+1.931053e+03j            8.248714e+02          
    -1.51552e+02     2.357518e+00-4.354824e-05j   1.073460e+03+1.942747e+03j            8.240726e+02          
    -1.51151e+02     2.374049e+00-4.324179e-05j   1.084624e+03+1.954489e+03j            8.232805e+02          
    -1.50751e+02     2.390652e+00-4.291823e-05j   1.095870e+03+1.966279e+03j            8.224948e+02          
